Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
145,[661.30122505],[117.10518156],[55.49936939],[100.05510806],[84.89920701],[111.09325852],[2.94041917],[102.31525983],[87.39342152]
146,[673.53308355],[73.38907218],[111.37684241],[82.81511863],[69.69099611],[123.85889662],[5.57591393],[72.2131473],[134.61309637]
147,[653.52098912],[116.1755926],[82.70016438],[85.11639602],[126.62460753],[91.10892829],[3.36316273],[87.15574029],[61.27639727]
148,[718.72556606],[115.04960367],[94.60307257],[97.78535494],[99.86185279],[105.05169843],[13.18598577],[112.63361443],[80.55438346]
149,[-75.95396127],[-5.70143517],[-4.46497367],[-14.045454],[-7.40137025],[-12.08583886],[-16.49858227],[-10.06426679],[-5.69204026]
150,[718.38239072],[121.69877246],[72.63491074],[122.79954892],[99.09885878],[50.53395058],[11.88333843],[125.15353103],[114.57947976]
151,[455.55713061],[65.80355354],[37.14980894],[95.6985522],[41.91813968],[80.03975848],[-25.9551684],[64.32324049],[96.57924569]
152,[54.24543726],[7.35155448],[1.30088634],[1.00731496],[20.69682151],[5.39491261],[-14.93914155],[21.92796678],[11.50512213]
153,[773.36663854],[100.79617921],[145.57745916],[136.53668994],[112.41616538],[99.36333889],[1.8284288],[112.9088639],[63.93951326]
154,[234.8705751],[54.5032704],[54.62493244],[28.03785086],[58.63863824],[33.04802207],[-41.03657206],[12.64432578],[34.41010736]
155,[668.40709705],[101.90196455],[85.628651],[99.45815979],[77.43954718],[97.91983725],[17.30642025],[80.76538098],[107.98713606]
156,[670.46326963],[144.54879579],[92.4422984],[104.6683552],[42.26506838],[103.74865546],[3.16292055],[102.79798811],[76.82918773]
157,[623.93838154],[103.9084158],[91.90812268],[55.94336612],[103.26500236],[80.98242579],[3.1487049],[98.53854342],[86.24380047]
158,[240.08781275],[68.51807419],[18.46229483],[31.68727047],[14.97945016],[22.86648503],[-46.65590147],[33.05336227],[97.17677727]
159,[668.46580354],[94.3732404],[99.54469611],[116.35318252],[99.97904606],[74.04091499],[0.7782674],[103.67564544],[79.72081062]
160,[698.31449599],[76.03727565],[84.89537905],[123.59589712],[65.39408924],[118.34191718],[12.04214519],[123.88402781],[94.12376476]
161,[671.807084],[89.10141745],[123.01337674],[53.84788164],[95.0942358],[92.91597686],[8.17024609],[100.81383392],[108.8501155]
162,[-58.78179217],[-7.8688141],[-9.18407529],[12.17525362],[-14.96581696],[-6.94589586],[-79.4782385],[-3.428665],[50.91445994]
163,[-471.42655723],[-7.87157304],[-60.16492027],[-78.67409966],[-66.50521034],[-50.2287823],[-115.73244106],[-39.03753371],[-53.21199683]
164,[610.61739457],[109.02289417],[126.17181105],[108.83008399],[64.54673717],[58.74558144],[-1.14648473],[65.50717238],[78.93959909]
165,[502.95423809],[64.04227934],[41.30780018],[83.74201807],[74.27601716],[60.1791887],[-17.31686964],[65.51915138],[131.2046529]
166,[638.14590697],[116.63382946],[104.27969374],[74.18035005],[53.87827282],[118.40430916],[1.83462355],[106.47810931],[62.45671888]
167,[446.25662236],[49.20870975],[51.84094827],[94.47850798],[31.37540789],[62.82047],[-13.13683316],[79.50001252],[90.16939911]
168,[614.48275561],[116.90419129],[77.58789268],[73.98621942],[67.56650185],[86.3632665],[5.56687119],[91.94971655],[94.55809612]
169,[695.94850234],[95.04015227],[133.24827871],[118.22504749],[66.60593367],[59.6707767],[1.98876072],[116.06854539],[105.10100739]
170,[700.02638378],[108.44154314],[65.60553593],[124.99648877],[93.34845157],[48.61205273],[0.79991565],[113.57762981],[144.64476619]
171,[590.77467247],[74.70835168],[68.67861282],[121.82631633],[71.59790817],[88.04560323],[5.09964419],[100.02428245],[60.7939536]
172,[658.77886465],[146.30480359],[64.66671658],[81.86614168],[122.83307904],[80.41508431],[11.49209632],[100.6058294],[50.59511372]
173,[644.99824712],[130.72744047],[34.80684139],[51.53690547],[106.63485377],[105.27007995],[14.2754021],[121.04620555],[80.70051841]
